id,category,q,a,sources,related_service,maintainer,language
bygglov-001,bygglov,Vad är bygglov?,"Bygglov är ett myndighetsbeslut från kommunens byggnadsnämnd som ger tillstånd att bygga, enligt Plan- och bygglagen (PBL). Krävs för nybyggnad, tillbyggnad och vissa fasadändringar. I Helsingborg hanteras bygglov av Stadsbyggnadsförvaltningen. Zaragoza AB hjälper genom hela ansökningsprocessen.",PBL 9 kap.; Boverket,bygglov-radgivning,Zaragoza AB,sv
bygglov-002,bygglov,Hur lång tid tar det att få bygglov?,"Lagstadgad handläggningstid är 10 veckor, med möjlig förlängning till 20 veckor vid komplexa ärenden. I praktiken: enkla ärenden 4-6 veckor, större projekt 8-12 veckor. Ärenden med planavvikelse kan ta 12-20 veckor.",PBL 9 kap. 27 §,bygglov-radgivning,Zaragoza AB,sv
bygglov-003,bygglov,Vad kostar bygglov?,"Avgiften beräknas enligt kommunal taxa och varierar kraftigt: ca 25 000-50 000 SEK för enfamiljshus, 5 000-15 000 SEK för tillbyggnad, 3 000-8 000 SEK för fasadändring. Planavgift tillkommer vid plan yngre än 10 år.",Kommunal bygglovstaxa,,Zaragoza AB,sv
bygglov-004,bygglov,Vilka ritningar behövs för bygglov?,"Obligatoriska: situationsplan (skala 1:400), planritning per våning (1:100), fasadritning alla 4 fasader (1:100), sektionsritning (1:100). Vid nybyggnad också nybyggnadskarta. Ritningar ska vara fackmässigt utförda och levereras som PDF.",PBL 9 kap. 21 §; BBR 2,ritningshjalp,Zaragoza AB,sv
bygglov-005,bygglov,Kan jag bygga utan bygglov?,"Ja, för friggebod upp till 15 m², attefallshus upp till 30 m², attefallstillbyggnad upp till 15 m², samt mindre plank och murar. Alla utom friggebod kräver dock bygganmälan. Strandskyddsområden har ofta andra regler.",PBL 9 kap. 4-5 §§,,Zaragoza AB,sv
bygglov-006,bygglov,Vad är kontrollansvarig (KA)?,Kontrollansvarig är en certifierad person som övervakar att bygget uppfyller tekniska krav. Krävs vid de flesta bygglov över attefallsnivå. KA ska vara certifierad av ett ackrediterat certifieringsorgan enligt PBL.,PBL 10 kap. 9 §,ka-hanvisning,Zaragoza AB,sv
bygglov-007,bygglov,Vad händer om jag bygger utan bygglov?,"Olovligt byggande leder till byggsanktionsavgift, vanligtvis 1-10 prisbasbelopp (58 000-580 000 SEK 2026). Dessutom kan kommunen kräva rivning eller återställande. Lagfart kan också påverkas vid försäljning.",PBL 11 kap.,,Zaragoza AB,sv
bygglov-008,bygglov,Vad är startbesked?,Startbesked är kommunens godkännande att påbörja byggarbetet efter beviljat bygglov. Krävs alltid — olovlig byggstart innebär byggsanktionsavgift. Utfärdas efter tekniskt samråd och godkänd kontrollplan.,PBL 10 kap. 3 §,,Zaragoza AB,sv
bygglov-009,bygglov,Vad är slutbesked?,"Slutbesked är kommunens bekräftelse att bygget är färdigt enligt bygglov och kontrollplan. Utan slutbesked får byggnaden inte tas i bruk. Krävs alltid, även vid enklare tillbyggnader.",PBL 10 kap. 34 §,,Zaragoza AB,sv
bygglov-010,bygglov,Kan jag överklaga ett avslag på bygglov?,Ja. Överklagan skickas till Länsstyrelsen inom 3 veckor från delgivning. Vidare instanser: Mark- och miljödomstolen och Mark- och miljööverdomstolen. Prövningstillstånd krävs i högre instanser.,PBL 13 kap.; Förvaltningslagen,,Zaragoza AB,sv
